Tipo de contrato,Procedimiento de adjudicación,Criterios de adjudicación,Entidad impulsora,Duración del contrato,¿Caracter plurianual?,CPV,División en lotes,Nº de licitadores presentados,¿UTE?,Mediana Importe,Media Importe,Baja temeraria
Suministros,Abierto,Pluralidad de criterios,Seguridad,1-3 años,1,9,0,Menos de 5 licitadores,0,80587.3,150645.40711888112,0
Servicios,Abierto,Pluralidad de criterios,Seguridad,1-3 años,1,50,0,Menos de 5 licitadores,1,66656.0,125645.5136095493,1
Servicios,Negociado con Publicidad,Mejor precio,Seguridad,Menos de 1 año,0,80,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Obras,Negociado con Publicidad,Mejor precio,Seguridad,Menos de 1 año,0,45,0,Menos de 5 licitadores,0,155627.72,221686.36500306608,0
Suministros,Abierto,Pluralidad de criterios,Seguridad,1-3 años,1,3,1,Menos de 5 licitadores,0,80587.3,150645.40711888112,1
Suministros,Abierto,Pluralidad de criterios,Seguridad,1-3 años,1,15,1,Menos de 5 licitadores,0,80587.3,150645.40711888112,0
Servicios,Abierto,Pluralidad de criterios,Seguridad,Menos de 1 año,0,80,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Obras,Abierto,Mejor precio,Seguridad,Menos de 1 año,0,45,0,Menos de 5 licitadores,0,155627.72,221686.36500306608,0
Servicios,Abierto,Mejor precio,Seguridad,1-3 años,1,80,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,"Planificación Territorial, Vivienda y Transportes",Menos de 1 año,0,71,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Obras,Negociado Sin Publicidad,Mejor precio,"Planificación Territorial, Vivienda y Transportes",Menos de 1 año,0,45,0,Menos de 5 licitadores,1,155627.72,221686.36500306608,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,"Planificación Territorial, Vivienda y Transportes",1-3 años,1,71,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,1
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,"Planificación Territorial, Vivienda y Transportes",Menos de 1 año,0,71,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Servicios,Abierto,Pluralidad de criterios,"Planificación Territorial, Vivienda y Transportes",Menos de 1 año,1,71,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,1
Obras,Negociado con Publicidad,Pluralidad de criterios,"Planificación Territorial, Vivienda y Transportes",Menos de 1 año,0,45,0,Menos de 5 licitadores,0,155627.72,221686.36500306608,0
Servicios,Negociado con Publicidad,Pluralidad de criterios,"Planificación Territorial, Vivienda y Transportes",1-3 años,1,71,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,1
Servicios,Abierto,Pluralidad de criterios,"Planificación Territorial, Vivienda y Transportes",1-3 años,1,71,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,1
Servicios,Abierto,Pluralidad de criterios,"Planificación Territorial, Vivienda y Transportes",1-3 años,1,90,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Servicios,Negociado con Publicidad,Pluralidad de criterios,"Planificación Territorial, Vivienda y Transportes",1-3 años,1,71,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,1
Obras,Abierto,Pluralidad de criterios,"Planificación Territorial, Vivienda y Transportes",Menos de 1 año,1,45,0,Menos de 5 licitadores,0,155627.72,221686.36500306608,0
Servicios,Negociado con Publicidad,Pluralidad de criterios,"Planificación Territorial, Vivienda y Transportes",1-3 años,1,71,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Servicios,Abierto,Pluralidad de criterios,"Planificación Territorial, Vivienda y Transportes",Menos de 1 año,1,71,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,1
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,Trabajo y Empleo,Menos de 1 año,1,71,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Servicios,Abierto,Pluralidad de criterios,Trabajo y Empleo,1-3 años,1,90,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Servicios,Abierto,Pluralidad de criterios,Trabajo y Empleo,1-3 años,1,90,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Suministros,Negociado Sin Publicidad,Pluralidad de criterios,Trabajo y Empleo,Menos de 1 año,0,38,0,Menos de 5 licitadores,0,80587.3,150645.40711888112,0
Suministros,Negociado Sin Publicidad,Pluralidad de criterios,Trabajo y Empleo,Menos de 1 año,0,39,0,Menos de 5 licitadores,0,80587.3,150645.40711888112,0
Servicios,Abierto,Pluralidad de criterios,Trabajo y Empleo,1-3 años,1,63,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,Trabajo y Empleo,Menos de 1 año,1,92,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Servicios,Restringido,Pluralidad de criterios,Seguridad,1-3 años,1,72,0,Menos de 5 licitadores,1,66656.0,125645.5136095493,1
Servicios,Abierto,Pluralidad de criterios,Seguridad,1-3 años,1,80,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Suministros,Abierto,Pluralidad de criterios,Seguridad,1-3 años,1,18,0,Menos de 5 licitadores,0,80587.3,150645.40711888112,0
