Tipo de contrato,Procedimiento de adjudicación,Criterios de adjudicación,Entidad impulsora,Duración del contrato,Importe de adjudicación,Presupuesto sin IVA,¿Caracter plurianual?,CPV,División en lotes,Nº de licitadores presentados,¿UTE?
Suministros,Abierto,Pluralidad de criterios,Seguridad,1-3 años,433884.29,525000.0,1,09,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,Seguridad,1-3 años,43617.0,72314.04,1,50,0,Menos de 5 licitadores,1
Servicios,Negociado con Publicidad,Mejor precio,Seguridad,Menos de 1 año,38016.52,38016.53,0,80,0,Menos de 5 licitadores,0
Obras,Negociado con Publicidad,Mejor precio,Seguridad,Menos de 1 año,99173.55,118459.0,0,45,0,Menos de 5 licitadores,0
Suministros,Abierto,Pluralidad de criterios,Seguridad,1-3 años,113757.29400000001,162510.42,1,03,1,Menos de 5 licitadores,0
Suministros,Abierto,Pluralidad de criterios,Seguridad,1-3 años,269090.9,269090.9,1,15,1,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,Seguridad,Menos de 1 año,365000.0,365000.0,0,80,0,Menos de 5 licitadores,0
Obras,Abierto,Mejor precio,Seguridad,Menos de 1 año,429752.06,471521.92,0,45,0,Menos de 5 licitadores,0
Servicios,Abierto,Mejor precio,Seguridad,1-3 años,500000.0,500000.0,1,80,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,"Planificación Territorial, Vivienda y Transportes",Menos de 1 año,58000.0,60000.0,0,71,0,Menos de 5 licitadores,0
Obras,Negociado Sin Publicidad,Mejor precio,"Planificación Territorial, Vivienda y Transportes",Menos de 1 año,78235.56,82179.0,0,45,0,Menos de 5 licitadores,1
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,"Planificación Territorial, Vivienda y Transportes",1-3 años,44755.0,60000.0,1,71,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,"Planificación Territorial, Vivienda y Transportes",Menos de 1 año,26900.0,27300.0,0,71,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,"Planificación Territorial, Vivienda y Transportes",Menos de 1 año,154896.0,276600.0,1,71,0,Menos de 5 licitadores,0
Obras,Negociado con Publicidad,Pluralidad de criterios,"Planificación Territorial, Vivienda y Transportes",Menos de 1 año,84166.38,87712.85,0,45,0,Menos de 5 licitadores,0
Servicios,Negociado con Publicidad,Pluralidad de criterios,"Planificación Territorial, Vivienda y Transportes",1-3 años,37200.0,49586.78,1,71,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,"Planificación Territorial, Vivienda y Transportes",1-3 años,211500.0,337500.0,1,71,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,"Planificación Territorial, Vivienda y Transportes",1-3 años,64989.6,80165.29,1,90,0,Menos de 5 licitadores,0
